customer_id,age,gender,city,department,latitude,longitude,income_bracket,occupation,education_level,marital_status,household_size,acquisition_channel,customer_segment,savings_account,credit_card,personal_loan,investment_account,insurance_product,active_products,app_logins_frequency,feature_usage_diversity,bill_payment_user,auto_savings_enabled,credit_utilization_ratio,international_transactions,failed_transactions,tx_count,avg_tx_value,total_tx_volume,first_tx,last_tx,base_satisfaction,tx_satisfaction,product_satisfaction,satisfaction_score,nps_score,last_survey_date,support_tickets_count,resolved_tickets_ratio,app_store_rating,feedback_sentiment,feature_requests,complaint_topics,clv_segment,monthly_transaction_count,average_transaction_value,total_transaction_volume,transaction_frequency,last_transaction_date,preferred_transaction_type,first_transaction_date,weekend_transaction_ratio,avg_daily_transactions,customer_tenure,churn_probability,customer_lifetime_value
54919233,44,Male,Manizales,Caldas,5.0743694,-75.5081167,High,Accountant,High School,Single,2,Referral,inactive,TRUE,FALSE,TRUE,FALSE,FALSE,2,30,2,TRUE,TRUE,,0,0,31,650522.5806,20166200,1/6/23,12/20/23,7.390032833,0.155,0.4,4,-26,1/26/23,2,1,4.5,Positive,Savings goals,App performance,Silver,1.818181818,1372695,27453900,0.061919505,12/20/23,Transfer,1/6/23,0.4,0.061919505,11.06666667,0.309567405,47948879.04
63701063,45,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Plumber,Bachelor,Married,4,Organic,occasional,TRUE,FALSE,FALSE,FALSE,TRUE,1,15,4,FALSE,FALSE,,0,0,523,1660922.849,868662650,1/5/23,12/29/23,6.050200012,1,0.4,3,-54,1/27/23,1,0,4,Positive,,Transaction issues,Platinum,2.636363636,13165987.93,381813650,0.083094556,12/29/23,Transfer,1/5/23,0.137931034,0.083094556,11.63333333,0.408850905,1793682669
71303241,44,Male,Medellin,Antioquia,5.0743694,-75.5081167,Medium,Salesperson,Bachelor,Married,2,Organic,occasional,TRUE,TRUE,TRUE,FALSE,FALSE,1,37,5,TRUE,FALSE,0.123946285,1,0,37,1491264.865,55176800,1/14/23,12/25/23,6.845219537,0.185,0.6,4,-43,11/17/23,2,1,4.5,Positive,Savings goals,,Silver,1.5,4963843.333,74457650,0.042372881,12/26/23,Payment,1/14/23,0.333333333,0.042372881,11.9,0.352978106,151408703.7
37879899,45,Female,Cucuta,Norte,7.8971458,-72.5080387,High,Bank Teller,PhD,Widowed,1,Organic,regular,TRUE,TRUE,TRUE,FALSE,FALSE,1,4,2,FALSE,FALSE,0.298424718,1,0,13,3736023.077,48568300,1/6/23,12/5/23,6.717857946,0.065,0.6,4,-26,11/3/23,2,0.5,3.5,Neutral,,Customer service,Silver,2.5,1826768.333,54803050,0.087719298,12/28/23,Transfer,1/6/23,0.233333333,0.087719298,11.43333333,0.421265102,121122376.4
79167585,44,Male,Cali,Valle del Cauca,3.4108435,-76.5812127,Medium,Manager,High School,Married,1,Paid Ad,power,TRUE,TRUE,FALSE,TRUE,FALSE,2,26,3,TRUE,TRUE,0.323895906,0,0,99,13864817.17,1372616900,1/6/23,12/27/23,8.176516235,0.495,0.6,4,-39,1/2/23,1,0,5,Positive,Budgeting tools,Fees,Platinum,1.625,5317273.077,69124550,0.04248366,11/18/23,Payment,1/6/23,0.307692308,0.04248366,11.56666667,0.314507569,2529478501
36307043,44,Female,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Architect,Bachelor,Single,3,Referral,regular,TRUE,TRUE,FALSE,FALSE,FALSE,3,19,1,FALSE,TRUE,0.44494739,0,0,17,3273538.235,55650150,1/6/23,12/23/23,8.991475769,0.085,0.4,5,-7,6/4/23,0,0,4,Positive,Savings goals,,Silver,1.9,1346260.526,25578950,0.057057057,12/28/23,Transfer,1/6/23,0.421052632,0.057057057,11.13333333,0.25370627,123987096.8
63176805,44,Male,Cartagena,Bolivar,10.3873369,-75.5196631,Medium,Teacher,Bachelor,Divorced,4,Referral,occasional,TRUE,FALSE,TRUE,TRUE,FALSE,1,30,2,FALSE,FALSE,,1,0,98,1445490.306,141658050,1/4/23,12/23/23,9.124741127,0.49,0.6,5,-5,4/15/23,1,0,3.5,Neutral,"Mobile check deposit, International transfers",Customer service,Gold,2,4687629.545,103127850,0.065671642,12/26/23,Transfer,1/4/23,0.454545455,0.065671642,11.26666667,0.337345183,333435866.5
46268519,45,Female,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Engineer,Bachelor,Single,5,Partnership,occasional,TRUE,TRUE,FALSE,TRUE,FALSE,2,26,3,TRUE,FALSE,0.038616355,0,0,11,1445531.818,15900850,1/5/23,9/10/23,8.011091343,0.055,0.6,4,-37,7/22/23,0,0,4,Positive,"International transfers, Mobile check deposit",Customer service,Bronze,3.181818182,5225498.571,182892450,0.109034268,12/10/23,Payment,1/5/23,0.228571429,0.109034268,11.33333333,0.316645206,43526866.1
71303272,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Nurse,High School,Married,2,Paid Ad,regular,TRUE,TRUE,FALSE,TRUE,FALSE,2,19,3,TRUE,TRUE,0.520959706,0,0,15,5159120,77386800,1/31/23,12/6/23,7.467421871,0.075,0.6,4,-30,10/14/23,5,0.6,5,Positive,Savings goals,,Gold,1.1,1476109.091,16237200,0.034591195,11/27/23,Transfer,1/31/23,0.272727273,0.034591195,11.66666667,0.325928492,230259402.2
59637868,44,Female,Cartagena,Bolivar,10.3873369,-75.5196631,Medium,Police Officer,High School,Married,2,Paid Ad,occasional,TRUE,TRUE,TRUE,TRUE,FALSE,1,26,7,FALSE,FALSE,0.3992507,3,0,20,1599030,31980600,1/21/23,12/26/23,7.696421093,0.1,0.8,4,-33,2/6/23,2,1,4,Positive,Cryptocurrency trading,,Bronze,4.083333333,1595871.429,78197700,0.14244186,12/18/23,Transfer,1/21/23,0.306122449,0.14244186,11.83333333,0.364507569,95804321.2
69468269,45,Female,Cali,Valle del Cauca,3.4108435,-76.5812127,Low,Bank Teller,High School,Married,4,Paid Ad,power,TRUE,FALSE,FALSE,TRUE,FALSE,2,15,1,TRUE,FALSE,,2,0,16,10817375,173078000,1/8/23,12/19/23,8.103265013,0.08,0.4,4,-30,6/2/23,1,0,4,Positive,,,Gold,1.625,18708723.08,243213400,0.041269841,12/19/23,Transfer,1/8/23,0.461538462,0.041269841,10.83333333,0.336628682,377717345.6
15859824,44,Male,Medellin,Antioquia,5.0743694,-75.5081167,Low,Waiter,High School,Married,4,Paid Ad,regular,TRUE,FALSE,FALSE,TRUE,FALSE,1,19,1,TRUE,FALSE,,1,1,11,6277631.818,69053950,1/10/23,11/5/23,6.839020503,0.055,0.4,4,-29,1/11/23,2,0.5,3.5,Neutral,"Savings goals, International transfers",Fees,Silver,2,1567937.5,25087000,0.051118211,11/24/23,Transfer,1/10/23,0.375,0.051118211,11.6,0.375928492,159143896.3
12976242,45,Female,Cali,Valle del Cauca,3.4108435,-76.5812127,Medium,Plumber,Bachelor,Married,7,Organic,regular,TRUE,FALSE,TRUE,FALSE,FALSE,1,26,2,TRUE,FALSE,,0,0,14,4142664.286,57997300,3/20/23,12/9/23,6.999096185,0.07,0.4,4,-23,11/4/23,0,0,4.5,Positive,"Savings goals, Cryptocurrency trading",,Gold,1.875,5616940,84254100,0.051903114,12/27/23,Transfer,3/20/23,0.266666667,0.051903114,9.7,0.366645206,242639514.5
65798258,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Cashier,Bachelor,Single,2,Organic,regular,TRUE,FALSE,FALSE,FALSE,TRUE,4,48,2,TRUE,FALSE,,2,0,13,3953311.538,51393050,1/11/23,11/12/23,8.008434622,0.065,0.4,4,-18,3/26/23,1,1,4.5,Positive,,Account security,Silver,1.875,4287233.333,64308500,0.052816901,12/24/23,Transfer,1/11/23,0.266666667,0.052816901,9.633333333,0.196326185,122663568.3
23593077,44,Female,Bogota,Cundinamarca,4.6533817,-74.0836331,Low,Insurance Agent,High School,Single,5,Referral,occasional,FALSE,FALSE,FALSE,FALSE,FALSE,5,22,0,FALSE,TRUE,,1,2,15,1421236.667,21318550,1/21/23,11/19/23,7.781704748,0.075,0,4,-23,4/12/23,1,1,4.5,Positive,"Cryptocurrency trading, International transfers",,Bronze,2.181818182,12835229.17,308045500,0.069164265,12/21/23,Transfer,1/21/23,0.291666667,0.069164265,11.83333333,0.170541498,64208397.93
89522294,45,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Insurance Agent,High School,Single,5,Referral,occasional,TRUE,TRUE,FALSE,FALSE,FALSE,3,15,2,TRUE,TRUE,0.261094347,0,0,70,1406767.857,98473750,1/8/23,12/23/23,6.405262592,0.35,0.4,3,-47,4/3/23,0,0,3.5,Neutral,,,Platinum,1.375,3291050,36201550,0.031976744,12/16/23,Payment,1/8/23,0.272727273,0.031976744,11.9,0.308850905,266862278.2
93585530,45,Female,Villavicencio,Meta,4.1347644,-73.6201517,High,Police Officer,Master,Married,6,Referral,occasional,TRUE,TRUE,FALSE,FALSE,FALSE,1,37,2,TRUE,FALSE,0.165062217,1,0,46,1591366.304,73202850,1/9/23,12/11/23,6.197378535,0.23,0.4,3,-47,1/5/23,0,0,4,Positive,Budgeting tools,Transaction issues,Platinum,4.181818182,1840297.826,84653700,0.130681818,12/23/23,Transfer,1/9/23,0.304347826,0.130681818,11.93333333,0.377337966,201121427.7
58589312,45,Female,Cali,Valle del Cauca,3.4108435,-76.5812127,Low,Artist,High School,Widowed,4,Paid Ad,occasional,FALSE,FALSE,FALSE,FALSE,FALSE,1,15,0,FALSE,TRUE,,3,1,381,1652844.357,629733700,1/4/23,12/29/23,7.291077034,1,0,4,-30,6/18/23,2,1,4.5,Positive,,,Platinum,1.428571429,575485,5754850,0.030395137,12/9/23,Withdrawal,1/4/23,0.5,0.030395137,11.63333333,0.386628682,1356046631
66322564,44,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Low,Cleaner,High School,Single,6,Paid Ad,regular,TRUE,TRUE,FALSE,TRUE,TRUE,2,19,2,TRUE,TRUE,0.547510623,0,1,26,3408871.154,88630650,1/6/23,12/29/23,6.091893028,0.13,0.8,3,-43,10/22/23,1,1,3.5,Neutral,International transfers,Fees,Platinum,1.7,3583738.235,60923550,0.052795031,12/26/23,Transfer,1/6/23,0.176470588,0.052795031,10.83333333,0.348150714,181557209.4
62914695,44,Female,Bogota,Cundinamarca,4.6533817,-74.0836331,Low,Pharmacist,High School,Married,3,Organic,occasional,FALSE,FALSE,FALSE,FALSE,FALSE,2,41,0,FALSE,FALSE,,2,0,10,2076315,20763150,1/13/23,12/22/23,8.675152763,0.05,0,4,-29,2/1/23,0,0,4.5,Positive,"Budgeting tools, Mobile check deposit",,Silver,30.83333333,1558234.189,576546650,1.033519553,12/29/23,Transfer,1/13/23,0.308108108,1.033519553,11.93333333,0.30012788,53272722.12
62783624,44,Male,Cartagena,Bolivar,10.3873369,-75.5196631,High,Journalist,Bachelor,Married,4,Organic,occasional,TRUE,TRUE,FALSE,FALSE,FALSE,1,22,4,TRUE,TRUE,0.136180644,1,0,11,1766340.909,19429750,1/19/23,12/18/23,6.745710757,0.055,0.4,3,-41,7/7/23,0,0,5,Positive,,,Bronze,1.727272727,1265621.053,24046800,0.058461538,12/12/23,Transfer,1/19/23,0.368421053,0.058461538,11.4,0.39276372,53827665.71
44957832,44,Male,Medellin,Antioquia,5.0743694,-75.5081167,Medium,Musician,Bachelor,Single,2,Referral,regular,TRUE,FALSE,FALSE,FALSE,FALSE,2,33,0,TRUE,FALSE,,0,0,23,4547810.87,104599650,1/10/23,12/29/23,7.07431304,0.115,0.2,4,-29,4/1/23,2,1,2.5,Negative,Savings goals,Fees,Gold,1.833333333,1827545.455,20103000,0.035714286,12/9/23,Transfer,1/10/23,0.272727273,0.035714286,10.93333333,0.30645938,266049496
82051209,44,Female,Medellin,Antioquia,5.0743694,-75.5081167,Medium,Insurance Agent,High School,Single,2,Referral,regular,FALSE,FALSE,TRUE,TRUE,FALSE,1,26,1,TRUE,TRUE,,0,0,12,3264887.5,39178650,1/11/23,11/29/23,7.979473741,0.06,0.4,4,-31,2/16/23,1,1,4,Positive,"Budgeting tools, Savings goals",,Silver,2.1,1517919.048,31876300,0.059659091,12/27/23,Payment,1/11/23,0.285714286,0.059659091,11.8,0.364507569,108726133.2
49283208,45,Female,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Driver,Bachelor,Single,4,Organic,power,TRUE,FALSE,FALSE,FALSE,FALSE,4,11,2,TRUE,FALSE,,0,0,17,14080758.82,239372900,1/11/23,12/18/23,6.825362244,0.085,0.2,3,-45,6/5/23,1,1,5,Positive,Cryptocurrency trading,,Gold,5.416666667,1616809.231,105092600,0.186246418,12/27/23,Payment,1/11/23,0.215384615,0.186246418,11.7,0.26930923,492603103.8
54788237,45,Male,Barranquilla,Atlantico,11.0101922,-74.8231794,Medium,Hairdresser,Bachelor,Married,1,Referral,occasional,TRUE,TRUE,FALSE,FALSE,FALSE,1,19,2,TRUE,FALSE,0.071893471,0,0,49,1728704.082,84706500,1/4/23,12/25/23,8.349032688,0.245,0.4,4,-29,7/22/23,1,1,5,Positive,,Customer service,Gold,1.222222222,1955300,21508300,0.037671233,12/21/23,Transfer,1/4/23,0.181818182,0.037671233,10,0.378066129,201298480.6
95289488,44,Female,Barranquilla,Atlantico,11.0101922,-74.8231794,High,Insurance Agent,Bachelor,Widowed,7,Organic,occasional,TRUE,FALSE,FALSE,FALSE,FALSE,2,41,0,TRUE,TRUE,,0,0,17,1222394.118,20780700,2/11/23,12/22/23,7.64650575,0.085,0.2,4,-24,7/18/23,2,1,5,Positive,,,Bronze,2.090909091,1415208.696,32549800,0.068656716,12/20/23,Transfer,2/11/23,0.217391304,0.068656716,11.46666667,0.30012788,76632404.03
82313361,45,Male,Cali,Valle del Cauca,3.4108435,-76.5812127,High,Manager,Bachelor,Married,4,Partnership,power,TRUE,FALSE,FALSE,FALSE,FALSE,1,11,2,FALSE,TRUE,,1,1,14,11463407.14,160487700,3/9/23,12/18/23,6.934383373,0.07,0.2,4,-27,10/5/23,1,1,4,Positive,,,Platinum,1.625,1387942.308,18043250,0.038575668,12/17/23,Transfer,3/9/23,0.538461538,0.038575668,11.63333333,0.397087008,503237864.1
20709524,44,Male,Cali,Valle del Cauca,3.4108435,-76.5812127,Medium,Musician,High School,Married,3,Paid Ad,power,TRUE,TRUE,TRUE,TRUE,TRUE,2,11,6,TRUE,FALSE,0.437857526,0,1,10,16438700,164387000,1/9/23,12/29/23,7.127636538,0.05,1,4,-35,12/2/23,1,1,3.5,Neutral,Cryptocurrency trading,,Platinum,2.75,620797.7273,13657550,0.065671642,12/7/23,Transfer,1/9/23,0.227272727,0.065671642,11.9,0.34494937,339126152.3
14680213,44,Male,Cali,Valle del Cauca,3.4108435,-76.5812127,Medium,Lawyer,High School,Married,1,Paid Ad,inactive,TRUE,TRUE,TRUE,TRUE,TRUE,2,11,3,TRUE,TRUE,0.158323165,1,0,62,555420.9677,34436100,1/6/23,12/29/23,7.820115972,0.31,1,4,-26,1/25/23,1,0,4.5,Positive,"Mobile check deposit, Cryptocurrency trading",Fees,Silver,1.909090909,1766304.762,37092400,0.06122449,12/19/23,Transfer,1/6/23,0.142857143,0.06122449,11.76666667,0.34494937,82594472.47
82837654,45,Female,Bogota,Cundinamarca,4.6533817,-74.0836331,Medium,Dentist,Bachelor,Divorced,2,Organic,occasional,TRUE,FALSE,FALSE,FALSE,FALSE,1,19,4,TRUE,FALSE,,1,0,11,1091700,12008700,3/7/23,12/27/23,6.28172991,0.055,0.2,3,-48,4/14/23,1,1,5,Positive,"Cryptocurrency trading, Mobile check deposit",Account security,Silver,7.833333333,5442666.489,511610650,0.263305322,12/27/23,Transfer,3/7/23,0.308510638,0.263305322,11.96666667,0.400288352,49633706.28
52560028,45,Male,Medellin,Antioquia,5.0743694,-75.5081167,Medium,Programmer,Master,Single,3,Referral,occasional,TRUE,TRUE,TRUE,TRUE,FALSE,5,30,2,TRUE,FALSE,0.265270927,0,0,147,1579132.993,232132550,1/6/23,12/26/23,6.697764581,0.735,0.8,4,-39,1/1/23,1,0,4,Positive,"Mobile check deposit, Savings goals",,Platinum,1.428571429,1692780,16927800,0.037735849,10/9/23,Transfer,1/6/23,0.4,0.037735849,11.53333333,0.161705043,562513572.9
38535325,45,Male,Bogota,Cundinamarca,4.6533817,-74.0836331,Very High,Veterinarian,Bachelor,Single,5,Organic,regular,TRUE,TRUE,FALSE,TRUE,FALSE,3,11,3,TRUE,FALSE,0.183304203,0,0,169,4881118.935,824909100,1/5/23,12/28/23,8.730185642,0.845,0.6,5,-15,11/4/23,0,0,5,Positive,International transfers,Fees,Platinum,1.428571429,1168645,11686450,0.037593985,11/1/23,Transfer,1/5/23,0.3,0.037593985,10.8,0.274864786,1809282285
